title,url,date,hood,description,address,compensation
Software Engineer - Full Stack,https://sfbay.craigslist.org/sby/sof/d/software-engineer-full-stack/6680653634.html,1535178780000, (mountain view),"
        

Our Product: 

We deliver innovative content to more than 50,000 K-12 schools across the nation via our award-winning SaaS products. As an established EdTech provider, we make a difference in the lives of thousands of teachers and students every day.  

Our curriculum provides a learning environment in which both teachers and students thrive. Our teams build these programs in a collaborative, Agile setting using the latest technology. Our curriculum eliminates boring lectures and instead provides a learning environment in which both teachers and students thrive. Our teams build these programs in a collaborative, Agile setting using the latest technology.

Learn more about our team. 

Our Culture:
We're a small team with big goals.   When we say team, we mean it.   Everyone has a say in decisions, everyone owns the code base, and everyone collaborates to help each other grow.   

As a small company, everybody is empowered and has an opportunity to work on a wide variety of projects, allowing each team member to grow and learn in ways that play up their strengths.   

The Job:
A successful engineer will embrace TCI's values of innovation, collaboration, productivity, life-long learning, and community.

These values will be demonstrated through:

• Thoughtful development work in Ruby on Rails
• Creating innovative experiences with JavaScript
• Responsible development that results in code quality and testing coverage
• Collaboration through paired development as needed and well documented code
• Working closely with product managers, QA, and others to ensure a strong product
• Life-long learning that results in a continuously improving code base

This position offers:
• Part-time to full-time schedules
• Competitive salary and benefits, including annual profit sharing
• Work-life balance

Why You Should Apply:
• You want to creatively solve problems and grow daily
• You value collaboration and innovation
• You want improve lives with your code

What You Should Know to Apply:
• 2+ years coding experience, preferably with Ruby on Rails
• 2+ years experience with JavaScript, preferably with some experience with React

• Familiarity with AWS configuration, and Webpack a plus

Please note:  Authorization to work in the United States is a requirement for employment. TCI does not sponsor visas of any kind.

Interested? Please send cover letter and resume to tciteach-tctc0442@applications.recruiterbox.com. Please put subject as ""Software Engineer"".    ",2440 W El Camino Real,TBD
Software Engineer (Software Developer 2),https://sfbay.craigslist.org/sfc/sof/d/software-engineer-software/6680100283.html,1535112840000,,"
        

Stanford University, one of Silicon Valley's largest and unique employers, is recruiting an experienced and energetic Software Engineer with front-end development expertise (Javascript, React framework development) within the Department of Biomedical Data Science of the School of Medicine.  Stanford's mission is to educate future leaders and promote interdisciplinary, world-class research and teaching. This passion makes Stanford an intensely creative and rewarding place to work.
 
This outstanding Software Engineer will assume a leadership role in a large NIH-funded project to create open-source web-based and desktop software to annotate, store, search, and process biomedical images. This exciting work will enable researchers to discover image-based indicators of disease that will transform medical care. The software developed is part of a national infrastructure supporting biomedical research, and will have high impact throughout the medical community. The Software Engineer will be responsible for designing, developing the front end to the application, working with collaborators and users to understand and implement the requirements, and evaluating and documenting and disseminating the software.  The successful candidate will be self-directed, thrive in a stimulating collaborative research environment, work well with other developers, and be excited by the opportunity to assume an ownership role in creating software infrastructure that will be adopted by medical centers nationally.  The candidate will work closely with faculty, research associates, students, developers, and other collaborators.
 
Bachelor's degree and five years of relevant experience, or a combination of education and relevant experience is required. Ability to select, adapt, and effectively use a variety of programming methods, proficiency with application design and data modeling, expertise in designing, developing, testing, and deploying applications, ability to lead activities on structured team development projects, ability to define and solve logical problems for highly technical applications, and strong communication skills with both technical and non-technical clients are required. Strong proficiency in JavaScript/ES6, including DOM manipulation and the JavaScript object model and real-world experience with Frameworks and Run-time experience environments (React, Node, Angular) are strongly desired.  Understanding of React.js and its core principles is a plus
 
To apply, please visit https://careersearch.stanford.edu/jobs/software-engineer-software-developer-2-3586 and include both a cover letter and resume.

Stanford is an equal employment opportunity and affirmative action employer.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Stanford also welcomes applications from others who would bring additional dimensions to the University's research mission.





Copyright 2017 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency 
jeid-97a0dfc8280a5a4e8f6d937c7b3544f6    ",,
Cable Experience Test And Final Quality Control Inspector(Swing Shift),https://sfbay.craigslist.org/sby/sof/d/cable-experience-test-and/6680096419.html,1535112480000, (san jose downtown),"
        
We are seeking Cable Experience Test And Final Quality Control Inspectors to join our team! You will conduct tests to determine the quality of materials and finished products as well as identify areas of improvement to increase efficiency.

Amphenol DC Electronics, Inc. is a custom cable assembly and wire harness manufacturing company based in Silicon Valley, CA. We are a division of Amphenol, one of the largest manufacturers of interconnect products in the world. As part of Amphenol's elite Industrial Products Group, ADCE specializes in manufacturing sophisticated interconnects for demanding medical and industrial applications. Working in conjunction with our facility in Nogales, Mexico, ADCE has the capacity and competitive edge to meet the wire harness needs of high tech OEM's throughout the world. Join our expanding team and be in the exciting epicenter of the technological revolution, Silicon Valley.

Job Description

Works under close supervision; conducts variety of tests on assemblies, and parts to ensure unit functions according to specifications and documents the findings.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Include the following. Other duties may be assigned.

1. Tests functional performance of assemblies, and parts under specified conditions.

2. Ensure assemblies are built to specifications and that assembly instructions are completed at production sections.

3. Verifies parts used are correct to BOM and Print.

4. Inspectors will ensure the drawings are adequate to use and that any red lining have the appropriate authorization and approvals with date.

5. Perform OBA (Out of Box Audits), when required.

6. When needed back up In-Process and Receiving Quality Inspector positions.

7. Maintains a clean and safe working environment in line with company policy.

8. Maintains reliable and regular work attendance.

9. Understanding and adherence to the Safety Codes of manufacturing.

AUTHORIZED

1. To accept / reject assemblies based on prints, specifications, workmanship standards through inspection & test.

2. To create NCR's per the documented procedures / work instructions.

3. To complete FAI inspections & reporting.

QUALIFICATIONS

Technical experience in reading blue prints and wiring schematics. Performing electrical tests on electro-mechanical assemblies and subcomponents. Competent with the various industry standards - IPC610, IPC620, J-STD, ISO 9000, GMP, KAIZEN, 5S.

EDUCATION and/or EXPERIENCE

High School or GED; Minimum 3 years' experience in electrical manufacturing field.

LANGUAGE and SKILLS

Basic English comprehension and reading skills.

Basic Math skills.

PHYSICAL DEMANDS

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

1. While performing the duties of this job, the employee is regularly required to sit and use hands to finger, grip, handle, or feel.

2. Specific vision abilities required by this job include close vision.

3. May be required to lift up to 25 pounds.

Amphenol DC Electronics offers a competitive salary and benefits. The candidate must be able to legally work in the United States; we are unable to provide sponsorship. Position requires candidate to be a U.S. person as defined in ITAR, 22 CFR 120.15 (U.S. Citizenship or Resident Alien Status) and defined by 8 U.S.C. 1101(a) (20).

An Equal Opportunity Employer

It is the policy of Amphenol DC Electronics, to give equal opportunity to all qualified persons without regard to race, color, age, religion, sex, national origin, citizenship, marital status, disability or prior arrest or conviction record.

Job Type: Full-time    ",1870 Little Orchard St,Our company offers a competitive salary and benefits. The candidate must be able to legally work in the United States; we are unable to provide sponsorship. Position requires candidate to be a U.S. person.
Technical Lead/Leader,https://sfbay.craigslist.org/sby/sof/d/technical-lead-leader/6680086488.html,1535111640000,,"
        
Cisco Systems, Inc. is accepting resumes for the following position in San Jose/Milpitas/Santa Clara, CA:  Technical Lead/Leader (Ref. #SJ106C): Lead engineering groups on projects to design, develop or test hardware or software products. Telecommuting Permitted.

Please mail resumes with reference number to Cisco Systems, Inc., Attn: G51G, 170 W. Tasman Drive, Mail Stop: SJC 5/1/4, San Jose, CA 95134.  No phone calls please.  Must be legally authorized to work in the U.S. without sponsorship.  EOE.  
www.cisco.com
    ",,TBD
Seeking Senior-level Laravel Developer,https://sfbay.craigslist.org/sfc/sof/d/seeking-senior-level-laravel/6679998740.html,1535105040000, (SOMA / south beach),"
        
Successful Bay Area Internet company seeking a senior-level web developer to move our technology stack from Symfony frameworks to Laravel. This is a great telecommute opportunity for a senior-level front and back end developer who has already built and maintained web sites and has a track record of success. This is not an opportunity for someone straight out of coding camp who wants to learn on the job. We need someone who can handle everything from A to Z.  

Required Skills:  
5+ years of intense web development experience, managing projects from start to finish.  
PHP 
MySQL
Javascript /jQuery
HTML5/CSS3
Version Control Software (namely Git)
PHP Frameworks such as Laravel/Symfony. 
Ability to architect and execute scalable and innovative concepts.  
Excellent mobile-development skills. 

*** U.S.-based candidates only.  ***

Please send your cover letter, resume and salary requirements.

    ",,$50-100 an hour
Backend Software Engineer,https://sfbay.craigslist.org/sfc/sof/d/backend-software-engineer/6679941251.html,1535101440000, (financial district),"
        

Beautylish is looking for an experienced Software Engineer to join our small, selective engineering team. We are creating a compelling new retail model centered around providing fast and personal service. We are a collaborative team of builders who apply software in inventive ways to solve interesting technical and business problems.

We believe that high quality engineering and design comes from simplicity, not complexity. We understand that clean and minimal solutions are not always the easiest solutions to create, but are worth the investment. Our culture is centered around building extraordinary experiences for both internal and external users, and we are looking for engineers who share our philosophy and are looking to make an impact.

The engineering team at Beautylish is focused on three core areas:

System architecture and scale. We are designing an architecture that is both performant and elegant. We believe that the right architectural choices make a system easy to extend and fun to work on.

Web and mobile consumer products. We are continually improving our user experience and polishing our design. We are a team that cares about the people that use our products and are always looking for creative and fun ways to make the Beautylish experience more enjoyable.

Sophisticated CRM and efficient operations. We believe that the greatest power of technology is its ability to connect people. We build systems that use data in novel ways to enhance our personal relationship with our customers.

We are using a light web framework (Python, Pylons, SQLAlchemy, Backbone.js) combined with modern but proven components (Redis, Elasticsearch) all running on Amazon Web Services (EC2, RDS, S3, CloudFront). Experience with these technologies is preferred, but not required. 

 Things we look for include:
Knowledge of Python, Ruby, or Javascript
Prior experience building scalable consumer web applications
B.S. in Computer Science or a related field
At least 2 consecutive years of post-degree work in a similar role

Above all, we look for people with a passion for learning and continual improvement who enjoy building product at any level of the stack and who take pride in their work.

To apply, please visit: https://www.beautylish.com/jobs?gh_jid=66208&gh_src=aad0852b1    ",California at Sansom,DOE
Sr. UX Designer with SalesForce Integration Experience,https://sfbay.craigslist.org/sby/sof/d/sr-ux-designer-with/6679852749.html,1535096400000, (mountain view),"
        
US Citizen/GC/GC EAD/H4 EAD Only

Role: Salesforce Implementation - UI/UX Designer
Location: Sunnyvale California (US-CA)

Primary responsibilities of the candidate will include: Iterative creation of visual designs and web prototypes to support business concept development for the client Translation of business and UX requirements into high fidelity pixel-perfect visual designs, branding, and interactive prototypes, in support of on-going client software projects Testing and support of production-ready web prototypes, for both requirements and production development iterations Support for usability testing software and data collection tools as needed Project estimation of visual design, web prototyping, and production development support

Basic qualifications and must have:

Experience hand-coding HTML, CSS and Javascript based on web standards and best practices for scalability and accessibility.
Must have an expert knowledge of building cross-browser user interfaces, including IE6.
Ability to rapidly iterate through prototypes Expert knowledge of Javascript and UI libraries such as jQuery, jQuery Mobile Have existing knowledge of Java programming and rapid prototyping technologies Ability to create complex interaction using jQuery.
Experience building custom UI widgets using jQuery Stay up-to-date on new technologies and trends Expert knowledge of optimizing client-side performance, through CSS optimization techniques and lazy loading Familiarity designing for financial services Familiarity with programming to display charts and graphs using Javascript, HTML and CSS.
Experience coding for Section 508, accessibility standards Education Preferred: 4 Year College Degree (preferably in Computer Science or Business)
Certifications Preferred As Applicable: SalesForce.com Certification    ",,$90-$100 per hr.
Siri - Senior DevOps/Build Engineer - 113340781,https://sfbay.craigslist.org/sby/sof/d/siri-senior-devops-build/6679790710.html,1535093040000, (cupertino),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Would you like to play a part in the next revolution in human-computer interaction? Contribute to a product that is redefining mobile and desktop computing, and work with the people who built the intelligent assistant that helps millions of people get things done -- just by asking? Join a dynamic team working hard to automate all aspects of a continuous delivery pipeline for Siri.

Key Qualifications: •Expert knowledge and experience with Software Version Control systems: SVN, GIT (Git and GitHub knowledge is a plus. •Knowledge of Java Build Systems and Tools including: Maven, Ant, Gradle. •Knowledge of other Build Tools and Languages included: Java, C, C++, Ruby, Python. •Experience working with server clusters consisting of hundreds or thousands of machines. •Experience maintaining automated build systems such as Jenkins or TeamCity. •A desire to write tools and applications to automate work rather than do everything by hand. •Familiarity with Splunk for investigating or monitoring problems on systems. •Ability to use and build web applications using REST, JSON, or similar protocols. •Experience in machine system configuration using tools such as: Puppet, Chef, Salt, Docker. •Linux system administration experience: ssh, monitoring processes, attaching storage, cleaning
disk space, tailing logs. •Experience with Java test frameworks such as JUnit. •Experience implementing Continuous Integration or Continuous Delivery processes in engineering teams. •Experience leading and integrating test automation into various points in a deployment pipeline. •Knowledge of Java Code Coverage Tools: Jacoco, Sonar, or Clover.

Description: You are a talented DevOps/Build & Release engineer who is passionate about continuous integration and delivery. You will be a key player in how software is built and delivered.

Education: Bachelor's degree in Computer Science, or Information Systems or 8 + years equivalent experience in an engineering role. Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.     ",,Open
Siri - DevOps Eng - 113489019,https://sfbay.craigslist.org/sby/sof/d/siri-devops-eng/6679788408.html,1535092920000, (cupertino),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Would you like to play a part in the next revolution in human-computer interaction? Contribute to a product that is redefining mobile and desktop computing, and work with the people who built the intelligent assistant that helps millions of people get things done -- just by asking? Join a dynamic team working hard to automate all aspects of a continuous delivery pipeline for Siri.  

Key Qualifications: •Knowledge and experience with Software Version Control systems: SVN, GIT (Git and GitHub knowledge is a plus. •Knowledge of Java Build Systems and Tools including: Maven, Ant, Gradle. •Knowledge of other Build Tools and Languages included: Java, C, C++, Ruby, Python. •Experience working with server clusters consisting of hundreds or thousands of machines. •Experience maintaining automated build systems such as Jenkins or TeamCity. •A desire to write tools and applications to automate work rather than do everything by hand. •Familiarity with Splunk for investigating or monitoring problems on systems. •Ability to use and build web applications using REST, JSON, or similar protocols. •Experience in machine system configuration using tools such as: Puppet, Chef, Salt, Docker. •Linux system administration experience: ssh, monitoring processes, attaching storage, cleaning disk
space, tailing logs. •Experience with Java test frameworks such as JUnit. •Experience implementing Continuous Integration or Continuous Delivery processes in engineering teams. •Experience leading and integrating test automation into various points in a deployment pipeline. •Knowledge of Java Code Coverage Tools: Jacoco, Sonar, or Clover.

Description: You are a talented DevOps/Build & Release engineer who is passionate about continuous integration and delivery. You will be a key player in how software is built and delivered.  

Education: Bachelor's degree in Computer Science, or Information Systems or 8 + years equivalent experience in an engineering role.  

Additional Requirements: - Continuous Integration and Continuous Delivery experience for JavaScript, NodeJS, ReactJS applications at large scale - Experience with front-end internal tools - Experience writing tools to automate repetitive tasks - Experience using Docker or other container systems - Linux systems experience: ssh, monitoring processes, attaching storage, cleaning disk space, tailing logs, etc. - Experience working with server clusters consisting of hundreds or thousands of machines using tools such as: AWS, OpenStack, Mesos etc. Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of
other applicants.     ",,Open
Power Management Prototyping Architect- Platform Architecture - 114140,https://sfbay.craigslist.org/sby/sof/d/power-management-prototyping/6679786567.html,1535092800000, (cupertino),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Apple's Platform Architecture team is looking for an extraordinary engineer to develop, prototype and evaluate a variety of power management algorithms. The engineer will be part of a product-focused multi-functional silicon, software and system development team. You will work with the Apple SOC design and product teams collaborating with all disciplines, with a critical impact on getting functional products to millions of customers quickly.  

Key Qualifications: •Logic Design experience of multi-million gate ASICs •Experience in all aspects of SOC power management (thermal & electrical control systems) with proficiency in front end tools and methodologies •Knowledge of the chip development process related to Signal Integrity, Power Delivery Networks, and design tools •Experience writing specifications and working with design and verification teams •Experience or knowledge of system architecture, CPU & IP Integration, and power management ICs •Experience of working with post-silicon validation teams is highly desirable •Ability to communicate effectively across all internal groups •Familiarity with software development (C,C++) and scripting languages like Python, Perl or Tcl •Lab experience with power measurement and analysis equipment, working knowledge of instruments and tools for SI, PDN analysis •Highly professional,
collaborative, with extraordinary communication and presentation skills •Good understanding of probability, statistics and techniques for dataset visualization

Description: Prototype and evaluate power management algorithms for a variety of Apple products. You will be responsible for exploring and implementing a variety of power management design and firmware solutions to improve battery life, system energy efficiency while providing magnificent user experience. You will work closely with SOC, system and software developers to create, prototype and evaluate HW/SW solutions for multiple product segments. You will use data driven analysis to quantify and explain multi-functional trade-offs between power consumption and user experience to influence other teams with the adoption of successfully prototyped power management concepts. You will write microarchitecture and/or design specifications and debug complex logic designs. Work with other engineers that are members of the SOC Design, SOC Design Verification, Emulation and systems teams to ensure a high-quality end product.  

Education: MS/ PhD in Computer Science or Electrical/Computer Engineering or equivalent experience.       ",,Open
